ts, humidity, pm10, pm25, temp
2019-05-03T15:59:00Z,43.49,3,2,24.4
2019-05-03T15:59:00Z,43.49,3,2,24.4
2019-05-03T16:01:00Z,43.57,4,2,24.36
2019-05-03T16:02:00Z,43.61,3,2,24.33
2019-05-03T16:03:00Z,43.67,3,1,24.3
2019-05-03T16:04:00Z,43.68,4,0,24.28
2019-05-03T16:05:00Z,43.67,3,1,24.24
2019-05-03T16:06:00Z,43.76,6,0,24.21
2019-05-03T16:07:00Z,43.78,2,0,24.19
2019-05-03T16:08:00Z,43.87,3,1,24.17
2019-05-03T16:09:00Z,43.81,3,2,24.15
2019-05-03T16:10:00Z,43.95,1,0,24.12
2019-05-03T16:11:00Z,44.06,6,1,24.09
2019-05-03T16:12:00Z,44.09,5,2,24.05
2019-05-03T16:13:00Z,44.18,1,1,24.02
2019-05-03T16:14:00Z,44.14,6,3,24
2019-05-03T16:15:00Z,44.25,3,0,23.95
2019-05-03T16:16:00Z,44.49,4,1,23.93
2019-05-03T16:17:00Z,44.5,2,1,23.91
2019-05-03T16:18:00Z,44.62,5,3,23.9
2019-05-03T16:19:00Z,44.46,7,3,23.88
2019-05-03T16:20:00Z,44.62,4,3,23.88
2019-05-03T16:21:00Z,44.57,2,0,23.88
2019-05-03T16:22:00Z,44.6,6,3,23.87
2019-05-03T16:23:00Z,44.72,4,3,23.83
2019-05-03T16:24:00Z,44.74,5,3,23.82
2019-05-03T16:25:00Z,44.78,3,3,23.82
2019-05-03T16:26:00Z,44.9,5,3,23.83
2019-05-03T16:27:00Z,44.77,4,1,23.84
2019-05-03T16:28:00Z,44.77,6,3,23.85
2019-05-03T16:29:00Z,44.68,5,3,23.85
2019-05-03T16:30:00Z,44.66,6,3,23.86
2019-05-03T16:31:00Z,44.43,4,0,23.87
2019-05-03T16:32:00Z,44.44,4,1,23.87
2019-05-03T16:33:00Z,44.54,5,1,23.85
2019-05-03T16:34:00Z,44.53,4,3,23.86
2019-05-03T16:35:00Z,44.42,6,1,23.86
2019-05-03T16:36:00Z,44.54,4,1,23.85
2019-05-03T16:37:00Z,44.52,3,1,23.85
2019-05-03T16:39:00Z,44.57,3,2,23.82
2019-05-03T16:39:00Z,44.57,3,2,23.82
2019-05-03T16:41:00Z,44.65,4,3,23.8
2019-05-03T16:41:00Z,44.65,4,3,23.8
2019-05-03T16:42:00Z,44.69,4,3,23.79
2019-05-03T16:43:00Z,44.69,3,1,23.78
2019-05-03T16:44:00Z,44.7,5,3,23.76
2019-05-03T16:45:00Z,44.68,3,0,23.75
2019-05-03T16:46:00Z,44.69,4,1,23.73
2019-05-03T16:48:00Z,44.77,4,0,23.67
2019-05-03T16:48:00Z,44.77,4,0,23.67
2019-05-03T16:49:00Z,44.75,2,0,23.64
2019-05-03T16:50:00Z,44.87,3,0,23.63
